,Order,Family,Genus,Species,animal,TOTALINNOVATIONS2025,FOODINNO2025,TECHINNO2025,TOTALINNOVATIONS2025_ResEff,FOODINNO2025_ResEff,TECHINNO2025_ResEff,Range.Size,ResearchEffort,DietBreadth,HabitatBreadth,GenerationLength,GenerationLengthFULL,MaxLongevity,Insularity,UrbanFULL,IUCNStatus2019,StatusCode,PopulationTrend2019,TrendCode,HabitatDestruction,Overexploitation,InvasiveSpecies,CriterionB,Brain_size,Relative_brain_size,Beak_length.Culmen,Beak_length.Nares,Beak_width,Beak_depth,Tarsus_length,Wing_length,Kipps_distance,Secondary1,Hand.Wing_index,Tail_length,Mass,Habitat,Habitat_density,Migration,Trophic_level,Trophic_niche,Primary_lifestyle,Range_size,buildingcoll,lbuildingcoll,buildingcoll_mig,lbuildingcoll_mig,buildingcoll_nonmig,lbuildingcoll_nonmig,rawtowercoll,ltowercollnonzero,rawturbinecoll,lturbinecollnonxero,ALLcoll,Abundance.estimate
1,CAPRIMULGIFORMES,TROCHILIDAE,Abeillia,Abeillia_abeillei,Abeillia_abeillei,0,0,0,0.017398403,0.013442044,0.031916496,144610.4,0,2,1.674435411,4.2,1.791906224,6.764835079,0,0,Least-Concern,1,decreasing,1,0,0,0,NO,NA,NA,13,9.5,1.2,1.7,6.3,47,30.5,15.5,66.3,29.4,2.7,Forest,2,1,Herbivore,Nectarivore,Aerial,144610.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216745
2,GALLIFORMES,CRACIDAE,Aburria,Aburria_aburri,Aburria_aburri,0,0,0,-0.309450172,-0.21055641,-0.160740709,139314.36,7,1,1.8705615,5.7,7.418901822,20.65698459,0,0,Near-Threatened,2,decreasing,1,1,1,0,NO,NA,NA,37.1,16.6,9.3,10.2,65.8,337.2,52.5,283.1,15.7,290.4,1405.08,Forest,1,1,Herbivore,Frugivore,Insessorial,139314.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66229
3,PASSERIFORMES,MELIPHAGIDAE,Acanthagenys,Acanthagenys_rufogularis,Acanthagenys_rufogularis,1,1,0,0.307384433,0.430291633,-0.205722295,5976565.2,12,4,3.522717622,6.8,3.819754733,13.57064622,0,1,Least-Concern,1,decreasing,1,0,0,0,NO,1.174,-0.062,25.7,11.3,3.7,5,25.1,111.1,25,82.8,23.2,111.4,47.8,Shrubland,2,1,Omnivore,Omnivore,Insessorial,5976565.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7228371
4,PASSERIFORMES,ACANTHISITTIDAE,Acanthisitta,Acanthisitta_chloris,Acanthisitta_chloris,1,1,0,0.265218448,0.401394106,-0.23057656,152503.84,16,2,2.991903891,3.5,1.890638142,6.563452551,1,1,Least-Concern,1,decreasing,1,0,0,0,NO,0.349,-0.19,12.1,6.3,2.4,2.2,18,46,6.2,38.1,13.9,23.5,6.91,Forest,1,1,Carnivore,Invertivore,Insessorial,152503.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1011749
5,PASSERIFORMES,ACANTHIZIDAE,Acanthiza,Acanthiza_apicalis,Acanthiza_apicalis,0,0,0,-0.264232034,-0.179567157,-0.134087388,4124270.8,5,3,4.589200512,5.7,3.284418521,16.90136986,0,0,Least-Concern,1,decreasing,1,0,0,0,NO,NA,NA,11,5.9,2.2,2.6,19,51,7.2,43.2,14.2,44.1,7.62,Woodland,2,1,Carnivore,Invertivore,Insessorial,4124270.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4123993
6,PASSERIFORMES,ACANTHIZIDAE,Acanthiza,Acanthiza_chrysorrhoa,Acanthiza_chrysorrhoa,0,0,0,-0.427928733,-0.291753075,-0.23057656,4590956.34,16,2,4.801593625,5.7,2.786694213,13.10410959,0,1,Least-Concern,1,decreasing,1,0,0,0,NO,0.485,-0.027,11.7,6.2,2.1,2.5,18,58.3,9.1,49.1,15.6,37.9,9.29,Woodland,2,1,Carnivore,Invertivore,Terrestrial,4590956.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6287938
7,PASSERIFORMES,ACANTHIZIDAE,Acanthiza,Acanthiza_ewingii,Acanthiza_ewingii,0,0,0,-0.155282509,-0.104901006,-0.069868319,68050.51,2,2,4.683212196,5.7,2.584194359,11.93437065,1,0,Least-Concern,1,decreasing,1,0,0,0,NO,0.63,0.402,10.7,5.6,1.9,2.5,21.5,52.2,8.3,42.5,16.3,46.4,6.9,Forest,2,1,Carnivore,Invertivore,Insessorial,68050.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,688512
8,PASSERIFORMES,ACANTHIZIDAE,Acanthiza,Acanthiza_inornata,Acanthiza_inornata,0,0,0,-0.327963421,-0.223244055,-0.171653135,137406.16,8,2,3.499213218,5.7,2.409270373,11.25164176,0,1,Least-Concern,1,decreasing,1,0,0,0,NO,0.44,0.035,11.3,5.9,2.3,2.7,17.3,47.8,6,41,12.8,36.4,7,Woodland,2,1,Carnivore,Invertivore,Insessorial,137406.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,227849
9,PASSERIFORMES,ACANTHIZIDAE,Acanthiza,Acanthiza_iredalei,Acanthiza_iredalei,0,0,0,-0.309450172,-0.21055641,-0.160740709,987131.55,7,3,2.598755832,5.7,2.652208873,11.46645186,0,0,Least-Concern,1,decreasing,1,0,0,0,NO,NA,NA,9.2,4.8,2,2.3,17.4,48.4,7.2,39.8,15.3,39.3,6.04,Shrubland,2,1,Carnivore,Invertivore,Generalist,987131.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,418915
10,PASSERIFORMES,ACANTHIZIDAE,Acanthiza,Acanthiza_lineata,Acanthiza_lineata,0,0,0,-0.418399698,-0.285222561,-0.224959778,1043817.35,15,3,4.873111568,5.7,4.171252748,23.5,0,1,Least-Concern,1,decreasing,1,0,0,0,NO,0.514,0.202,9.9,5,2.1,2.8,17.1,51.5,9.4,40,19.1,37.9,6.85,Forest,2,1,Omnivore,Invertivore,Insessorial,1043817.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1924796
