	Order	Family	Genus	Species	animal	TOTALINNOVATIONS2025	FOODINNO2025	TECHINNO2025	TOTALINNOVATIONS2025_ResEff	FOODINNO2025_ResEff	TECHINNO2025_ResEff	Range.Size	ResearchEffort	DietBreadth	HabitatBreadth	GenerationLength	GenerationLengthFULL	MaxLongevity	Insularity	UrbanFULL	IUCNStatus2019	StatusCode	PopulationTrend2019	TrendCode	HabitatDestruction	Overexploitation	InvasiveSpecies	CriterionB	Brain_size	Relative_brain_size	Beak_length.Culmen	Beak_length.Nares	Beak_width	Beak_depth	Tarsus_length	Wing_length	Kipps_distance	Secondary1	Hand.Wing_index	Tail_length	Mass	Habitat	Habitat_density	Migration	Trophic_level	Trophic_niche	Primary_lifestyle	Range_size	buildingcoll	lbuildingcoll	buildingcoll_mig	lbuildingcoll_mig	buildingcoll_nonmig	lbuildingcoll_nonmig	rawtowercoll	ltowercollnonzero	rawturbinecoll	lturbinecollnonxero	ALLcoll	Abundance.estimate
5027	PASSERIFORMES	CARDINALIDAE	Cardinalis	Cardinalis_cardinalis	Cardinalis_cardinalis	5	3	2	0.962098513	0.819222979	0.631239203	5834572.06	218	3	4.496137098	4.9	4.156734357	15.8	0	1	Least-Concern	1	stable	2	0	0	0	NO	1.533	0.269	17.6	14.7	9.3	12.3	24.5	93.5	14.2	77.7	15.5	101.8	42.64	Shrubland	2	1	Herbivore	Omnivore	Insessorial	5834572.06	138	2.139879086	97	1.99	41	1.61	54	1.73239376	3	0.477121255	2.290034611	204034397
3783	PASSERIFORMES	ICTERIDAE	Molothrus	Molothrus_ater	Molothrus_ater	1	0	1	-0.367490114	-0.725365915	0.089627699	11727469.53	951	2	3.87067938	4.6	3.285866402	16.9	0	0	Least-Concern	1	decreasing	1	0	0	0	NO	1.157	0.02	17.6	11.1	5.8	8.9	24.7	105	33.9	68.8	33	69.8	40.26	Forest	2	3	Carnivore	Invertivore	Terrestrial	11727469.53	21	1.322219295	10	1	10	1	243	2.385606274	24	1.380211242	2.459392488	184678527
77	PASSERIFORMES	ICTERIDAE	Agelaius	Agelaius_phoeniceus	Agelaius_phoeniceus	8	7	1	1.169122662	1.37637303	0.108805311	13703226.95	773	2	2.20640047	6.2	4.27953597	15.8	0	0	Least-Concern	1	decreasing	1	0	0	0	NO	1.705	0.277	22.7	15.4	5.6	8.8	28	118	27.8	88.9	24	88.9	50.78	Wetland	3	3	Herbivore	Granivore	Generalist	13703226.95	115	2.06069784	96	1.98	19	1.28	410	2.612783857	164	2.214843848	2.838219222	418284484
7723	PASSERIFORMES	PASSERELLIDAE	Melospiza	Melospiza_melodia	Melospiza_melodia	3	1	2	0.490763469	0.080933292	0.592412913	10313728.38	332	2	5.749505756	3.7	2.588141994	11.33	0	0	Least-Concern	1	stable	2	0	0	0	NO	1.072	0.285	13.4	8.5	5.3	6.7	21.5	66.3	13.2	52.6	20.1	67.2	21.91	Shrubland	2	2	Omnivore	Omnivore	Generalist	10313728.38	867	2.938019097	835	2.92	32	1.51	422	2.625312451	23	1.361727836	3.117933835	214266112
7661	PASSERIFORMES	PASSERELLIDAE	Junco	Junco_hyemalis	Junco_hyemalis	1	1	0	-0.216805827	0.071049414	-0.514700329	10167654.77	364	2	2.98938992	3.6	2.385897614	10.75	0	0	Least-Concern	1	stable	2	0	0	0	NO	0.84	0.106	11.6	7.8	4.5	5.3	21.1	75.2	16.4	58.6	21.9	63.8	19.5	Forest	2	3	Herbivore	Granivore	Generalist	10167654.77	4330	3.636487896	4296	3.63	34	1.53	149	2.173186268	56	1.748188027	3.656577291	277840118
8012	PASSERIFORMES	PASSERELLIDAE	Zonotrichia	Zonotrichia_albicollis	Zonotrichia_albicollis	0	0	0	-0.828218919	-0.566083114	-0.466523093	5662700.85	216	3	3.361634386	4.2	2.978161552	14.91666667	0	1	Least-Concern	1	stable	2	0	0	0	NO	1.061	0.214	13.6	8.4	5.1	6.3	23	72.8	14.3	58.1	19.7	70.4	24.4	Woodland	2	3	Herbivore	Omnivore	Terrestrial	5662700.85	10308	4.01317441	10282	4.01	26	1.41	797	2.901458321	6	0.77815125	4.045753148	217096172
8014	PASSERIFORMES	PASSERELLIDAE	Zonotrichia	Zonotrichia_leucophrys	Zonotrichia_leucophrys	3	3	0	0.442391092	0.740929533	-0.534711928	7364178.61	452	3	5.220506956	4.3	2.748363144	13.3	0	1	Least-Concern	1	stable	2	0	0	0	NO	0.987	0.065	15.4	8.4	4.5	6	22.8	78.7	18.5	60.9	23.4	70.6	28	Shrubland	2	3	Omnivore	Omnivore	Generalist	7364178.61	350	2.544068044	349	2.54	1	0	41	1.612783857	21	1.322219295	2.614897216	98005211
1072	PASSERIFORMES	EMBERIZIDAE	Emberiza	Emberiza_citrinella	Emberiza_citrinella	0	0	0	-0.878602675	-0.600612508	-0.496221229	12899942.03	298	3	3.180772769	3.6	2.769283811	13	0	0	Least-Concern	1	decreasing	1	0	0	0	NO	0.764	-0.225	13.4	8	4.7	5.9	19.1	88.2	22.6	65.5	25.7	72.8	29.7	Shrubland	3	2	Herbivore	Granivore	Terrestrial	12899942.03	3	0.477121255	0	NA	3	0.48	NA	NA	NA	NA	0.477121255	17439114
3618	PASSERIFORMES	EMBERIZIDAE	Emberiza	Emberiza_schoeniclus	Emberiza_schoeniclus	2	1	1	0.231455916	0.100379143	0.203672845	23743379.81	277	3	4.760817627	3.6	2.456969286	11.25	0	0	Least-Concern	1	decreasing	1	0	0	0	NO	0.681	-0.071	11.3	6.9	4	5.1	19.3	77.9	16.4	61.7	21.1	63.6	18.4	Wetland	2	2	Herbivore	Omnivore	Terrestrial	23743379.81	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18052623
3885	PASSERIFORMES	CALCARIIDAE	Plectrophenax	Plectrophenax_nivalis	Plectrophenax_nivalis	2	1	1	0.274057427	0.129575147	0.228783825	6819849.23	211	2	2.759708738	3.9	2.640707546	10.54241654	0	0	Least-Concern	1	decreasing	1	0	0	0	NO	1.034	-0.119	12.8	8.4	4.7	6.4	20.7	107.4	41.5	66	38.6	66.8	42.2	Grassland	3	3	Herbivore	Granivore	Terrestrial	6819849.23	2	0.301029996	1	0	1	0	7	0.84509804	3	0.477121255	1.079181246	98146299
