species	innovation
Zonotrichia_albicollis	-0.566083114
Melospiza_georgiana	-0.427602742
Melospiza_melodia	0.080933292
Passerculus_sandwichensis	-0.543525005
Geothlypis_trichas	0.203229831
Agelaius_phoeniceus	1.37637303
Haemorhous_mexicanus	0.05116399
Fringilla_coelebs	1.388904219
Passer_domesticus	2.454557889
Taeniopygia_guttata	-0.023869599
Catharus_ustulatus	0.581288171
Erithacus_rubecula	1.399751107
Cinclus_cinclus	0.438388853
Acridotheres_tristis	1.867946598
Sylvia_borin	0.095456085
Sylvia_atricapilla	1.395679297
Zosterops_lateralis	0.560098442
Hirundo_rustica	0.846765433
Poecile_atricapillus	0.795876682
Cyanocitta_cristata	1.503861489
Corvus_moneduloides	-0.369541777
Lathamus_discolor	0.320570823
Ara_ararauna	1.110820911
Falco_rusticolus	-0.591599269
Falco_cherrug	0.087605424
Falco_biarmicus	0.148404982
Falco_peregrinus	1.962361827
Falco_naumanni	-0.616960052
Falco_punctatus	-0.427602742
Dryobates_pubescens	1.209997037
Haliaeetus_albicilla	-0.017963907
Buteo_buteo	1.452350987
Harpia_harpyja	0.686424439
Aquila_chrysaetos	1.893712726
Gypaetus_barbatus	-0.638491943
Sarcoramphus_papa	0.680382454
Numenius_arquata	0.969936871
Rissa_tridactyla	0.893774578
Larus_argentatus	1.915151451
Larus_michahellis	0.588552978
Larus_fuscus	-0.684921431
Sterna_hirundo	1.050144576
Vanellus_vanellus	-0.019502797
Pluvialis_apricaria	-0.610912114
Grus_americana	0.118939382
Grus_grus	-0.700960411
Gallinula_chloropus	1.435032112
Calonectris_borealis	0.340210589
Spheniscus_humboldti	-0.549477928
Morus_bassanus	-0.620910752
Phalacrocorax_carbo	1.410355025
Pelecanus_crispus	-0.513348741
Platalea_leucorodia	0.095456085
Gavia_stellata	0.113552236
Phaethon_aethereus	-0.447242509
Opisthocomus_hoazin	-0.369541777
Phoenicopterus_ruber	0.057480013
Columba_livia	0.83495277
Streptopelia_decaocto	1.295210385
Streptopelia_turtur	0.147201388
Patagioenas_fasciata	-0.458591995
Cuculus_canorus	0.016436998
Chlamydotis_macqueenii	-0.391716261
Caprimulgus_europaeus	-0.588014892
Podargus_strigoides	0.26919633
Calypte_anna	0.174273101
Apus_apus	-0.663688726
Aythya_marila	0.55387009
Aythya_fuligula	0.032098297
Aythya_ferina	-0.612536888
Netta_rufina	-0.541048563
Anas_acuta	-0.648412619
Anas_platyrhynchos	1.130410399
Clangula_hyemalis	0.823231646
Bucephala_clangula	0.456139459
Cygnus_olor	0.37622924
Cygnus_columbianus	0.753261077
Anser_anser	0.391447448
Anser_brachyrhynchus	-0.557832538
Tetrao_urogallus	-0.705272588
Gallus_gallus	-0.108735895
Apteryx_mantelli	-0.383925844
Dromaius_novaehollandiae	0.09960695
