branch_id	parent	child	parent_value	child_value	branch_length	delta
edge_23	101	6	0.631306928308126	1.37637303	0.0155179	0.745066101691874
edge_26	102	8	0.727280500042046	1.388904219	0.0247886	0.661623718957954
edge_27	95	9	0.879724297488713	2.454557889	0.0364508	1.57483359151129
edge_35	103	14	0.967969861359025	1.867946598	0.0363817	0.899976736640975
edge_41	109	16	0.687799872154712	1.395679297	0.0120817	0.707879424845288
edge_46	110	20	0.598648465281228	1.503861489	0.00980608	0.905213023718772
edge_52	112	113	0.475971759204356	1.34461203094262	0.00395348	0.868640271738266
edge_58	113	27	1.34461203094262	1.962361827	0.000376444	0.617749796057378
edge_62	88	30	0.326071467046046	1.209997037	0.155402	0.883925569953954
edge_65	118	119	0.351445191974817	0.81384669320816	0.00606519	0.462401501233344
edge_69	121	32	0.73080094102112	1.452350987	0.0100487	0.72155004597888
edge_71	119	34	0.81384669320816	1.893712726	0.0107225	1.07986603279184
edge_80	127	37	0.386811581518007	0.969936871	0.0555366	0.583125289481993
edge_85	130	131	0.613366690141685	1.45335154174081	0.000182771	0.839984851599122
edge_86	131	39	1.45335154174081	1.915151451	1.93496e-05	0.461799909259193
edge_97	133	47	0.155146540824366	1.435032112	0.0935042	1.27988557117563
edge_108	141	51	0.0851207975888496	1.410355025	0.043238	1.32523422741115
edge_122	147	59	0.695240032061516	1.295210385	0.00594836	0.599970352938484
edge_141	157	158	-0.276001533896532	0.275746537814353	0.00198231	0.551748071710885
edge_148	159	73	0.226733635875652	1.130410399	0.00283323	0.903676763124348
