Trait	beta	SE	p	R2
GenerationLength	1.9420061057747	0.370043512059187	1.28850019700216e-06	0.251482875867218
HabitatBreadth	-0.756950694486665	0.178476072502107	5.86435266748131e-05	0.171614094034762
DietBreadth	-0.593667396275395	0.249800155936365	0.0198339039986757	0.0536432176189725
Relative_brain_size	-1.01602490574389	0.46742585144753	0.0329301237283474	0.0473141648014886
Range.Size	0.465387992145564	0.248146994409221	0.0643336312674277	0.029784703940309
UrbanFULL	0.313846381676824	0.179331872367269	0.0838901574493838	0.0245388502065647
Trophic_level	-0.202848012877388	0.443693618411085	0.648765229729175	-0.00974012699920397
Brain_size	0.132676838896864	0.455237687902894	0.771526251046861	-0.0123514939981899
Mass	0.0389667005003539	0.640612268036744	0.951646600149194	-0.0122994387018639
Migration	-0.0151694488503299	0.257125187557013	0.95310031975829	-0.01230218038883
