branch_id	parent	child	parent_value	child_value	branch_length	delta
edge_1	84	85	-0.136979967154961	-0.0592147391082836	0.0183752	0.0777652280466775
edge_2	85	86	-0.0592147391082836	0.0175360028141351	0.0254796	0.0767507419224188
edge_3	86	87	0.0175360028141351	0.109935326709173	0.00362304	0.0923993238950382
edge_4	87	88	0.109935326709173	0.121244889940883	0.000454865	0.01130956323171
edge_5	88	89	0.121244889940883	0.186612213447831	0.0032994	0.0653673235069471
edge_6	89	90	0.186612213447831	0.200335773474019	0.00160819	0.0137235600261886
edge_7	90	91	0.200335773474019	0.853710678300478	0.0447178	0.653374904826459
edge_8	91	92	0.853710678300478	0.738075026050458	0.0119497	-0.11563565225002
edge_9	92	93	0.738075026050458	0.734995849020288	0.000294814	-0.0030791770301698
edge_10	93	94	0.734995849020288	0.645227533005058	0.0090723	-0.0897683160152305
edge_11	94	95	0.645227533005058	0.753828970158184	0.0050569	0.108601437153126
edge_12	95	96	0.753828970158184	0.581826441649444	0.0059671	-0.17200252850874
edge_13	96	97	0.581826441649444	0.367839906033768	0.00902488	-0.213986535615676
edge_14	97	98	0.367839906033768	0.116607179522826	0.0114671	-0.251232726510942
edge_15	98	1	0.116607179522826	-0.466523093	0.0144439	-0.583130272522826
edge_16	98	99	0.116607179522826	0.287593728224537	0.009261	0.170986548701711
edge_17	99	100	0.287593728224537	0.223855624286298	0.00152709	-0.0637381039382393
edge_18	100	2	0.223855624286298	-0.347418515	0.0045573	-0.571274139286298
edge_19	100	3	0.223855624286298	0.592412913	0.00440777	0.368557288713702
edge_20	99	4	0.287593728224537	0.651491036	0.00604467	0.363897307775463
edge_21	97	101	0.367839906033768	0.361242234140503	0.00366185	-0.00659767189326477
edge_22	101	5	0.361242234140503	0.697598056	0.0232519	0.336355821859497
edge_23	101	6	0.361242234140503	0.108805311	0.0155179	-0.252436923140503
edge_24	96	102	0.581826441649444	0.547416529378712	0.00672803	-0.0344099122707314
edge_25	102	7	0.547416529378712	0.161343742	0.024408	-0.386072787378712
edge_26	102	8	0.547416529378712	0.812730351	0.0247886	0.265313821621288
edge_27	95	9	0.753828970158184	2.587342037	0.0364508	1.83351306684182
edge_28	94	10	0.645227533005058	-0.596338534	0.0395773	-1.24156606700506
edge_29	93	103	0.734995849020288	0.728666499748106	0.0115141	-0.00632934927218209
edge_30	103	104	0.728666499748106	0.714194928014573	0.00134831	-0.0144715717335336
edge_31	104	105	0.714194928014573	0.682497005432048	0.00436576	-0.0316979225825244
edge_32	105	11	0.682497005432048	0.268560859	0.0391033	-0.413936146432048
edge_33	105	12	0.682497005432048	0.822059572	0.041972	0.139562566567952
edge_34	104	13	0.714194928014573	0.55112073	0.046961	-0.163074198014573
edge_35	103	14	0.728666499748106	1.099156443	0.0363817	0.370489943251894
edge_36	92	106	0.738075026050458	0.740019274827561	0.00253287	0.00194424877710309
edge_37	106	107	0.740019274827561	0.832033098679282	0.00788462	0.0920138238517207
edge_38	107	108	0.832033098679282	0.698148550573164	0.00751357	-0.133884548106118
edge_39	108	109	0.698148550573164	0.103072338233693	0.0239984	-0.595076212339471
edge_40	109	15	0.103072338233693	-0.493708573	0.00991237	-0.596780911233693
edge_41	109	16	0.103072338233693	0.530875406	0.0120817	0.427803067766307
edge_42	108	17	0.698148550573164	0.943483119	0.035161	0.245334568426836
edge_43	107	18	0.832033098679282	2.19760713	0.0463078	1.36557403132072
edge_44	106	19	0.740019274827561	0.205694348	0.0490097	-0.534324926827561
edge_45	91	110	0.853710678300478	1.57041853965492	0.0295088	0.716707861354444
edge_46	110	20	1.57041853965492	1.604750296	0.00980608	0.0343317563450778
edge_47	110	21	1.57041853965492	1.781960261	0.0101767	0.211541721345078
edge_48	90	111	0.200335773474019	-0.259188400996964	0.0756104	-0.459524174470983
edge_49	111	22	-0.259188400996964	-0.300091271	0.0365236	-0.0409028700030361
edge_50	111	23	-0.259188400996964	-0.408496654	0.0301169	-0.149308253003036
edge_51	89	112	0.186612213447831	1.05431566440024	0.0769354	0.867703450952412
edge_52	112	113	1.05431566440024	1.78161053927735	0.00395348	0.727294874877109
edge_53	113	114	1.78161053927735	0.748476168300496	0.000752035	-1.03313437097686
edge_54	114	115	0.748476168300496	0.210614201094414	0.000562721	-0.537861967206082
edge_55	115	24	0.210614201094414	0.610143191	0.000155868	0.399528989905586
edge_56	115	25	0.210614201094414	-0.500460791	0.000202063	-0.711074992094414
edge_57	114	26	0.748476168300496	0.650444149	0.000234548	-0.0980320193004955
edge_58	113	27	1.78161053927735	2.368015491	0.000376444	0.586404951722648
edge_59	112	116	1.05431566440024	0.517543732671719	0.00310839	-0.536771931728524
edge_60	116	28	0.517543732671719	0.182865711	0.00303219	-0.334678021671719
edge_61	116	29	0.517543732671719	0.345728666	0.00275743	-0.171815066671719
edge_62	88	30	0.121244889940883	0.906285757	0.155402	0.785040867059117
edge_63	87	117	0.109935326709173	0.114391641963149	0.00696628	0.00445631525397554
edge_64	117	118	0.114391641963149	0.533025460635466	0.02798	0.418633818672317
edge_65	118	119	0.533025460635466	0.798118073796037	0.00606519	0.265092613160571
edge_66	119	120	0.798118073796037	0.796446112186276	0.000306777	-0.00167196160976146
edge_67	120	121	0.796446112186276	0.585807028262572	0.00644989	-0.210639083923704
edge_68	121	31	0.585807028262572	-0.591259151	0.00896543	-1.17706617926257
edge_69	121	32	0.585807028262572	1.57692688	0.0100487	0.991119851737428
edge_70	120	33	0.796446112186276	1.052133929	0.00939763	0.255687816813724
