Trait	beta	SE	p	R2
GenerationLength	2.12549851570635	0.327715012415276	7.36260825154331e-09	0.34202734145949
HabitatBreadth	-0.417334968717529	0.180240814631912	0.0231198517952393	0.0504997008784043
Relative_brain_size	-0.729623151023613	0.321936108599948	0.0263528392452108	0.0522691039938708
Range.Size	0.477122490773565	0.233149791538251	0.0439586527860891	0.0374212634699073
UrbanFULL	-0.291979071586173	0.169247921924469	0.088312982725416	0.0235324313464246
DietBreadth	-0.195549149685161	0.242738535026554	0.422834580377302	-0.00429907821852033
Migration	-0.190936995847565	0.24161737757884	0.431692039549872	-0.00460048674707965
Brain_size	0.200116429090545	0.313679095118304	0.525465451468986	-0.00796968119676093
Mass	0.252170666757412	0.603642446464544	0.677236402983623	-0.0101692789473704
Trophic_level	-0.0952328536256793	0.418934611496415	0.820746521058007	-0.0117002507922476
