species	innovation
Zonotrichia_albicollis	-0.828218919
Melospiza_georgiana	-0.626154523
Melospiza_melodia	0.490763469
Passerculus_sandwichensis	0.303309158
Geothlypis_trichas	0.669213137
Agelaius_phoeniceus	1.169122662
Haemorhous_mexicanus	0.159643356
Fringilla_coelebs	1.388078311
Passer_domesticus	2.757122164
Taeniopygia_guttata	-0.355307427
Catharus_ustulatus	0.6292224
Erithacus_rubecula	1.403905607
Cinclus_cinclus	0.643853626
Acridotheres_tristis	1.87013244
Sylvia_borin	-0.181192699
Sylvia_atricapilla	1.302654023
Zosterops_lateralis	1.003768399
Hirundo_rustica	1.929449065
Poecile_atricapillus	0.745711079
Cyanocitta_cristata	1.865973773
Corvus_moneduloides	1.538006995
Lathamus_discolor	0.147284709
Ara_ararauna	0.879662542
Falco_rusticolus	0.233161332
Falco_cherrug	-0.192648034
Falco_biarmicus	0.589215156
Falco_peregrinus	2.399056278
Falco_naumanni	-0.209309102
Falco_punctatus	0.066992658
Dryobates_pubescens	1.346127095
Haliaeetus_albicilla	-0.346690104
Buteo_buteo	1.744111318
Harpia_harpyja	1.188097671
Aquila_chrysaetos	1.905942966
Gypaetus_barbatus	-0.24072748
Sarcoramphus_papa	0.486134296
Numenius_arquata	0.674090821
Rissa_tridactyla	0.745279748
Larus_argentatus	2.208117627
Larus_michahellis	0.862966435
Larus_fuscus	0.096989786
Sterna_hirundo	1.313548193
Vanellus_vanellus	-0.348935584
Pluvialis_apricaria	-0.200484221
Grus_americana	-0.146926916
Grus_grus	-1.025025869
Gallinula_chloropus	1.696548136
Calonectris_borealis	0.175942183
Spheniscus_humboldti	-0.80398937
Morus_bassanus	-0.908220969
Phalacrocorax_carbo	1.682832679
Pelecanus_crispus	-0.058124088
Platalea_leucorodia	-0.181192699
Gavia_stellata	-0.154787601
Phaethon_aethereus	-0.654811996
Opisthocomus_hoazin	-0.541434546
Phoenicopterus_ruber	-0.236605693
Columba_livia	0.813600264
Streptopelia_decaocto	0.99422238
Streptopelia_turtur	-0.105688254
Patagioenas_fasciata	-0.671372661
Cuculus_canorus	-0.296493834
Chlamydotis_macqueenii	-0.573790566
Caprimulgus_europaeus	-0.860220794
Podargus_strigoides	0.072321335
Calypte_anna	-0.066186416
Apus_apus	0.127971604
Aythya_marila	0.301533084
Aythya_fuligula	-0.273641564
Aythya_ferina	-0.896002199
Netta_rufina	-0.098542436
Anas_acuta	-0.948350469
Anas_platyrhynchos	1.641056768
Clangula_hyemalis	0.562482673
Bucephala_clangula	0.158928896
Cygnus_olor	0.330009532
Cygnus_columbianus	0.460384734
Anser_anser	0.352215264
Anser_brachyrhynchus	-0.816180046
Tetrao_urogallus	-0.338170825
Gallus_gallus	0.214006631
Apteryx_mantelli	-0.562423136
Dromaius_novaehollandiae	-0.175135942
