trait	beta	se	p	r2	phenotype
Range.Size	0.32763266128498	0.0860570146182278	0.000272112878588251	0.141311379670748	TOTAL
HabitatBreadth	0.281358241178308	0.0897476092535684	0.00239434292570206	0.0971965772924448	TOTAL
Relative_brain_size	0.306729178682461	0.10064675278503	0.00319757011813539	0.0995074609345835	TOTAL
UrbanFULL	0.281877806798544	0.0970638465405012	0.00474602310312997	0.0831174091499003	TOTAL
Migration	-0.148653336109251	0.0975967988646589	0.131619114423995	0.0158419157546845	TOTAL
DietBreadth	0.10669682201472	0.0991920311477211	0.285273265300846	0.00191149454897182	TOTAL
Mass	-0.0737110201565104	0.0860913385963908	0.394415447153374	-0.00326586526494505	TOTAL
Brain_size	-0.0700049736091898	0.103673028782875	0.501622951432834	-0.00730687719107755	TOTAL
Trophic_level	-0.0437365986680724	0.100468893215745	0.664484493203434	-0.00998272265353532	TOTAL
GenerationLength	-0.0207282805651575	0.107669993149211	0.847837786597374	-0.0123394865889921	TOTAL
Range.Size	0.274524463438353	0.0799439484613065	0.000940127389598979	0.116304019982368	FOOD
HabitatBreadth	0.206309278167195	0.0829651848525647	0.0149483309999877	0.0594568060029179	FOOD
Relative_brain_size	0.20755386725252	0.0912723337991785	0.0258659412377789	0.0526846873635	FOOD
UrbanFULL	0.187686556378082	0.0878313983804187	0.0356233786225344	0.0416790622422808	FOOD
Migration	-0.0842523500642014	0.087265106743983	0.337180302118179	-0.00082820304095905	FOOD
DietBreadth	0.0762726228913128	0.0854640514160441	0.374794032069415	-0.00248822700051201	FOOD
Mass	-0.0633411072084279	0.0731609359524954	0.389169233528056	-0.00306336733930175	FOOD
Brain_size	-0.0521970151220372	0.0860756785622949	0.546099445239206	-0.0085019246121834	FOOD
GenerationLength	-0.0189267816380941	0.0864858611595289	0.827344355838529	-0.0121990221327787	FOOD
Trophic_level	-0.00876119810207066	0.0855061994041144	0.918642638417889	-0.0122144833964707	FOOD
Range.Size	0.279089136231657	0.0786517135136535	0.000648138136653588	0.123849892253563	TECH
HabitatBreadth	0.280923567006146	0.0801395600981768	0.000745961761783329	0.121001959243789	TECH
UrbanFULL	0.266921356939045	0.088302252175816	0.00335246010027549	0.0902778270781166	TECH
Migration	-0.166912049235705	0.0880789419391944	0.0616564604564682	0.0306312327074491	TECH
Relative_brain_size	0.185093421004771	0.0988910038280999	0.0652014381842662	0.0322983699097127	TECH
Mass	-0.083716347415008	0.078850706976864	0.291524054391278	0.00154908138180073	TECH
DietBreadth	0.0952727369169838	0.0905846838280684	0.296040381264174	0.00129326346339021	TECH
Brain_size	-0.099170463453686	0.0964018330377417	0.306962211074845	0.000776252873299323	TECH
Trophic_level	-0.0606879894964937	0.0913042323180186	0.508143888050636	-0.00685399977608217	TECH
GenerationLength	-0.0494333436663078	0.0978557890252507	0.614867203710852	-0.00951768255403572	TECH
