trait	K	K_p	lambda	lambda_p	phenotype
TOTALINNOVATIONS2025_ResEff	0.0161156564393045	0.611	0.191113839499559	0.111743190861048	TOTAL
FOODINNO2025_ResEff	0.0110469773429527	0.776000000000001	7.33137435857406e-05	1	TOTAL
TECHINNO2025_ResEff	0.0141290891479532	0.712	0.228287969438099	0.0533871242320783	TOTAL
Brain_size	0.837091030028155	0.001	0.993201137513582	6.24428409432948e-14	TOTAL
Relative_brain_size	0.885923167542896	0.001	0.974775055785141	5.18008014831628e-15	TOTAL
Mass	1.62299958889167	0.001	0.999926686256414	2.18799898411331e-22	TOTAL
DietBreadth	0.0862406376853082	0.007	0.652935315861407	0.000228803257431167	TOTAL
HabitatBreadth	0.0552047413913695	0.071	7.33137435857406e-05	1	TOTAL
GenerationLength	0.244853074604249	0.001	0.986901205400257	1.14186222734166e-18	TOTAL
Range.Size	0.0943686025165538	0.026	7.33137435857406e-05	1	TOTAL
TOTALINNOVATIONS2025_ResEff	0.0161156564393045	0.604	0.191113839499559	0.111743190861048	FOOD
FOODINNO2025_ResEff	0.0110469773429527	0.798000000000001	7.33137435857406e-05	1	FOOD
TECHINNO2025_ResEff	0.0141290891479532	0.693	0.228287969438099	0.0533871242320783	FOOD
Brain_size	0.837091030028155	0.001	0.993201137513582	6.24428409432948e-14	FOOD
Relative_brain_size	0.885923167542896	0.001	0.974775055785141	5.18008014831628e-15	FOOD
Mass	1.62299958889167	0.001	0.999926686256414	2.18799898411331e-22	FOOD
DietBreadth	0.0862406376853082	0.008	0.652935315861407	0.000228803257431167	FOOD
HabitatBreadth	0.0552047413913695	0.072	7.33137435857406e-05	1	FOOD
GenerationLength	0.244853074604249	0.001	0.986901205400257	1.14186222734166e-18	FOOD
Range.Size	0.0943686025165538	0.027	7.33137435857406e-05	1	FOOD
TOTALINNOVATIONS2025_ResEff	0.0161156564393045	0.595	0.191113839499559	0.111743190861048	TECH
FOODINNO2025_ResEff	0.0110469773429527	0.769000000000001	7.33137435857406e-05	1	TECH
TECHINNO2025_ResEff	0.0141290891479532	0.681	0.228287969438099	0.0533871242320783	TECH
Brain_size	0.837091030028155	0.001	0.993201137513582	6.24428409432948e-14	TECH
Relative_brain_size	0.885923167542896	0.001	0.974775055785141	5.18008014831628e-15	TECH
Mass	1.62299958889167	0.001	0.999926686256414	2.18799898411331e-22	TECH
DietBreadth	0.0862406376853082	0.007	0.652935315861407	0.000228803257431167	TECH
HabitatBreadth	0.0552047413913695	0.072	7.33137435857406e-05	1	TECH
GenerationLength	0.244853074604249	0.001	0.986901205400257	1.14186222734166e-18	TECH
Range.Size	0.0943686025165538	0.024	7.33137435857406e-05	1	TECH
