phenotype	predictor	pearson_r	spearman_rho	pearson_p	spearman_p	n
TOTALINNOVATIONS2025	Brain_size	-0.102547345062587	-0.121693366794828	0.381312274828958	0.298309302044438	75
TOTALINNOVATIONS2025	Relative_brain_size	0.18307465984763	0.257356211055238	0.11591280417854	0.025812165175722	75
TOTALINNOVATIONS2025	Mass	-0.116022121228572	-0.22069861956431	0.29926712099875	0.0463193466080441	82
TOTALINNOVATIONS2025	GenerationLength	-0.0561271789346175	-0.114706764888477	0.620948972816767	0.310978863913499	80
TOTALINNOVATIONS2025	Range.Size	0.43527376730977	0.32169216685754	4.37388707434541e-05	0.00320778944854497	82
TOTALINNOVATIONS2025	HabitatBreadth	0.407672223647297	0.344378030382806	0.000143823090806449	0.00153435342174066	82
TOTALINNOVATIONS2025	DietBreadth	0.118806906427199	0.133859378541176	0.287738090212037	0.230549760946429	82
TOTALINNOVATIONS2025	UrbanFULL	0.311149612452815	0.281448223901108	0.00443672863833012	0.0104221240786285	82
TOTALINNOVATIONS2025	Migration	-0.154889868269336	-0.13060585960231	0.164694103911699	0.242183169560971	82
TOTALINNOVATIONS2025	Trophic_level	NA	NA	NA	NA	0
TOTALINNOVATIONS2025_ResEff	Brain_size	-0.132907477512466	-0.125392072493019	0.255650474330331	0.28375345733668	75
TOTALINNOVATIONS2025_ResEff	Relative_brain_size	0.679945930184761	0.321758626376652	1.43270811870463e-11	0.00459221057396019	76
TOTALINNOVATIONS2025_ResEff	Mass	-0.142218589546796	-0.241699769638154	0.199648487358316	0.0277116855210357	83
TOTALINNOVATIONS2025_ResEff	GenerationLength	-0.155668503053747	-0.170067991236907	0.165223345610537	0.129038870584654	81
TOTALINNOVATIONS2025_ResEff	Range.Size	0.201951137165649	0.222294521090132	0.0671194196346545	0.0434006517699993	83
TOTALINNOVATIONS2025_ResEff	HabitatBreadth	0.296850467201328	0.299404402701365	0.00642741944389691	0.00596466055687855	83
TOTALINNOVATIONS2025_ResEff	DietBreadth	0.636720805443516	0.148718724776982	9.78930355963758e-11	0.179654553365671	83
TOTALINNOVATIONS2025_ResEff	UrbanFULL	0.330910935346888	0.296561980528712	0.00239292290359601	0.00682210763626804	82
TOTALINNOVATIONS2025_ResEff	Migration	-0.138315445163601	-0.14148551486116	0.212394955676706	0.201999662958592	83
TOTALINNOVATIONS2025_ResEff	Trophic_level	NA	NA	NA	NA	1
FOODINNO2025	Brain_size	-0.0776695793729715	-0.058251773401388	0.507751860992075	0.619595364949494	75
FOODINNO2025	Relative_brain_size	0.180023366993713	0.275509749838716	0.119674702050798	0.0160028343591081	76
FOODINNO2025	Mass	-0.110637455117798	-0.169324467235639	0.319381418827561	0.125943127456442	83
FOODINNO2025	GenerationLength	-0.0442974411807299	-0.0614548560746487	0.694560825809328	0.585744827063516	81
FOODINNO2025	Range.Size	0.347443181191514	0.280356904767205	0.00128979762564629	0.0102540592220202	83
FOODINNO2025	HabitatBreadth	0.352904332293067	0.267335992857521	0.00106670591125848	0.01455540413312	83
FOODINNO2025	DietBreadth	0.150962048050777	0.218182044397984	0.173105299259582	0.0475318773127847	83
FOODINNO2025	UrbanFULL	0.291660826501926	0.209221739681465	0.00784601716905835	0.0592365813264481	82
FOODINNO2025	Migration	-0.16082767385368	-0.121156854634616	0.146373062496031	0.275239041782527	83
FOODINNO2025	Trophic_level	NA	NA	NA	NA	1
FOODINNO2025_ResEff	Brain_size	-0.0762846647560064	-0.0700858469850372	0.515371041381585	0.550172129620578	75
FOODINNO2025_ResEff	Relative_brain_size	0.258056483039474	0.291942363454853	0.0244066390152605	0.0104997307882636	76
